qa_id,id,file_name,question,gold_answer,reference_normalized,asr_normalized,wer_previous,cer_previous,answer_preserved,gold_answer_token_count,asr_llm_answer_raw,asr_llm_answer_normalized,asr_em,asr_f1,latency_sec,output_tokens,status,error,wer,cer,oracle_answer_raw,oracle_answer_normalized,oracle_em,oracle_f1,delta_f1,propagation_failure,answer_not_preserved,wer_x_answer_preserved,wer_bin
60,1727,2817180319637980241.wav,کودکان وحشی ممکن است پیش از ترک شدن چه تجربه‌هایی داشته باشند؟,کودک آزاری شدید یا ضربه‌ای عاطفی,کودکان وحشی ممکن است قبل از ترک شدن یا فرار کردن کودک آزاری شدید یا ضربه‌ای عاطفی را تجربه کرده باشند,کودکان وحشی ممکن است قبل از ترک شدن یا فرار کردن کودک شدید یا ضربه عاطفی را تجربه کرده باشند,0.090909091,0.089108911,False,7,"شدید یا ضربه عاطفی 
",شدید یا ضربه عاطفی,0,0.727272727,1.299363755,10,ok,,0.0952380952380952,0.0987654320987654,"کودک آزاری شدید یا ضربه‌ای عاطفی 
",کودک آزاری شدید یا ضربه ای عاطفی,1,1.0,0.272727273,1,1,0.0,0–10%
232,1913,17260900713464587563.wav,غرش ببر بیشتر شبیه چه چیزی توصیف شده است؟,جمله ای از کلمات غرولندی,غرش ببر مانند صدای کامل غرش یک شیر نیست بلکه بیشتر شبیه به جمله ای از کلمات غرولندی است,غرش مانند صدای کامل غرش یک شیر نیست بلکه بیشتر شبیه به از کلمات غرولندی است,0.157894737,0.137931034,False,5,"از کلمات غرولندی 
",از کلمات غرولندی,0,0.75,1.173152161,8,ok,,0.1578947368421052,0.1304347826086956,"جمله ای از کلمات غرولندی 
",جمله ای از کلمات غرولندی,1,1.0,0.25,1,1,0.0,10–20%
284,1966,6012893237357673272.wav,این کمیسیون در پاسخ به چه چیزی ایجاد شد؟,اعتراضات گسترده ضدحکومتی,این کمیسیون پاسخ مارتلی بود به اعتراضات گسترده ضدحکومتی که در ماه اکتبر آغاز شد,این کمیسیون پاسخ مارتلی بود به اعتراضات گسترده ضد که در ماه اکتبر آغاز شد,0.066666667,0.075949367,False,3,"اعتراضات گسترده ضد 
",اعتراضات گسترده ضد,0,0.666666667,1.521413119,8,ok,,0.0666666666666666,0.0923076923076923,"اعتراضات گسترده ضدحکومتی 
",اعتراضات گسترده ضدحکومتی,1,1.0,0.333333333,1,1,0.0,0–10%
284,1966,10051486205118679596.wav,این کمیسیون در پاسخ به چه چیزی ایجاد شد؟,اعتراضات گسترده ضدحکومتی,این کمیسیون پاسخ مارتلی بود به اعتراضات گسترده ضدحکومتی که در ماه اکتبر آغاز شد,این کمیسیون پاسخ مارلی بود به اعتراضات گسترده زنده حکومتی که در ماه اکتبر آغاز شد,0.2,0.063291139,False,3,"اعتراضات گسترده زنده حکومتی 
",اعتراضات گسترده زنده حکومتی,0,0.571428571,1.864408063,11,ok,,0.2,0.0615384615384615,"اعتراضات گسترده ضدحکومتی 
",اعتراضات گسترده ضدحکومتی,1,1.0,0.428571429,1,1,0.0,10–20%
284,1966,2133612890814523911.wav,این کمیسیون در پاسخ به چه چیزی ایجاد شد؟,اعتراضات گسترده ضدحکومتی,این کمیسیون پاسخ مارتلی بود به اعتراضات گسترده ضدحکومتی که در ماه اکتبر آغاز شد,این سون پاسخ مارلی بود به اعتراضات گسترده ضد که در ماه اکتبر آغاز شد,0.2,0.139240506,False,3,"اعتراضات گسترده ضد 
",اعتراضات گسترده ضد,0,0.666666667,1.393288731,8,ok,,0.2,0.1692307692307692,"اعتراضات گسترده ضدحکومتی 
",اعتراضات گسترده ضدحکومتی,1,1.0,0.333333333,1,1,0.0,10–20%
120,1791,4033011412618651601.wav,برای جلوگیری از تغییر شکل مکان، چه کاری نباید انجام شود؟,نقاشی دیواری یا حک کردن روی بناها,با نقاشی دیواری یا حک کردن روی بناها این مکان را از شکل نیندازید,با نقاشی دیواری یا حک کردن روی به این مکان را از شکل نیازید,0.142857143,0.078125,False,7,"نقاشی دیواری یا حک کردن روی به این مکان 
",نقاشی دیواری یا حک کردن روی به این مکان,0,0.75,1.600167407,12,ok,,0.1428571428571428,0.0980392156862745,"نقاشی دیواری یا حک کردن روی بناها 
",نقاشی دیواری یا حک کردن روی بناها,1,1.0,0.25,1,1,0.0,10–20%
86,1755,12231270620623786468.wav,بمب در کجا منفجر شد؟,بیرون دفتر فرماندار کل,یک بمب در بیرون دفتر فرماندار کل منفجر شد,یک بمب در بیرون دفتر فرمانده کل منفجر شد,0.111111111,0.048780488,False,4,"بیرون دفتر فرمانده کل 
",بیرون دفتر فرمانده کل,0,0.75,1.332087481,8,ok,,0.1111111111111111,0.0606060606060606,"بیرون دفتر فرماندار کل 
",بیرون دفتر فرماندار کل,1,1.0,0.25,1,1,0.0,10–20%
86,1755,15698039611577788882.wav,بمب در کجا منفجر شد؟,بیرون دفتر فرماندار کل,یک بمب در بیرون دفتر فرماندار کل منفجر شد,یک بمب در بیرون دفتر فرمانده کل منفجر شد,0.111111111,0.048780488,False,4,"بیرون دفتر فرمانده کل 
",بیرون دفتر فرمانده کل,0,0.75,1.250232105,8,ok,,0.1111111111111111,0.0606060606060606,"بیرون دفتر فرماندار کل 
",بیرون دفتر فرماندار کل,1,1.0,0.25,1,1,0.0,10–20%
260,1941,3229496852869124735.wav,این زوج‌ها برای نوزادشان چه طرحی می‌توانند ترتیب دهند؟,طرح فرزندخواندگی,این زوجها می‌توانند طرح فرزندخواندگی را برای نوزادشان ترتیب دهند,این زوجها میتوانند طرح فرزندگی را برای نوزادشان ترتیب دهند,0.272727273,0.09375,False,2,"طرح فرزندگی 
",طرح فرزندگی,0,0.5,1.031838884,5,ok,,0.2,0.109090909090909,"طرح فرزندخواندگی 
",طرح فرزندخواندگی,1,1.0,0.5,1,1,0.0,10–20%
260,1941,1773300784357182684.wav,این زوج‌ها برای نوزادشان چه طرحی می‌توانند ترتیب دهند؟,طرح فرزندخواندگی,این زوجها می‌توانند طرح فرزندخواندگی را برای نوزادشان ترتیب دهند,این زوجها میتوانند طرح فرزندگی را برای نوزادشان ترتیب دهند,0.272727273,0.09375,False,2,"طرح فرزندگی 
",طرح فرزندگی,0,0.5,0.979187129,5,ok,,0.2,0.109090909090909,"طرح فرزندخواندگی 
",طرح فرزندخواندگی,1,1.0,0.5,1,1,0.0,10–20%
